bin,n,selection_rate,mean_team_mean,arm,lambda
0,350,0.0,0.10350476732013768,above_near,0.41
1,350,0.0,0.19122097523498524,above_near,0.41
2,350,0.0,0.25175086321086954,above_near,0.41
3,350,0.0,0.30433583190842883,above_near,0.41
4,350,0.0,0.3512663391989104,above_near,0.41
5,350,0.0,0.3944974864739718,above_near,0.41
6,350,0.0,0.43537287468646946,above_near,0.41
7,350,0.0,0.47641985633320305,above_near,0.41
8,350,0.0,0.5170767458639451,above_near,0.41
9,350,0.0,0.5595892402951274,above_near,0.41
10,350,0.0,0.6025098518882964,above_near,0.41
11,350,0.0,0.6476065531867018,above_near,0.41
12,350,0.0,0.6983606605255779,above_near,0.41
13,350,0.002857142857142857,0.7512155960808571,above_near,0.41
14,350,0.5971428571428572,0.8132687224912052,above_near,0.41
15,350,1.0,0.9023510768891361,above_near,0.41
